,HD-OKÊ!!,
Banda Luxúria,33346,VIDA MAIS OU MENOS
Banda Magníficos,4303,AMOR ESCONDIDO
Banda Magníficos,4025,APAIXONADA
Banda Magníficos,3712,ME USA
Banda Magníficos,3959,MEU TESÃO É VOCÊ
Banda Magníficos,33735,CRISTAL QUEBRADO
Banda Mel,3028,BATEU SAUDADE
Banda Mel,3383,PREFIXO DE VERÃO
Banda Musa do Calypso,33269,AGORA EU SEI
Banda Musa do Calypso,33270,NAO SOU A ÚNICA
Banda Musa do Calypso,33271,PODEM ATÉ NOS SEPARAR
Banda Musa do Calypso,33272,SE ERA
Banda Musa do Calypso,33273,UMA MULHER É IGUAL A UMA FLOR
Banda Uó ft. Mr. Catra,15647,CATRACA
Banda Vingadora,33768,A MINHA MÃE DEIXA
Banda Vingadora,30100,CALCANHAR DE PREGO
Banda Vingadora,33680,METRALHADORA
Barão Vermelho,3511,BETE BALANÇO
Barão Vermelho,2809,MEUS BONS AMIGOS
Barão Vermelho,3890,O POETA ESTÁ VIVO
Barão Vermelho,30392,"PEDRA, FLOR E ESPINHO"
Barão Vermelho,7211,PENSE E DANCE
Barão Vermelho,30179,POR QUE A GENTE É ASSIM
Barão Vermelho,4369,POR VOCÊ
Barão Vermelho,3223,PRO DIA NASCER FELIZ
Barão Vermelho,4010,PURO ÊXTASE
Barão Vermelho,33140,DECLARE GUERRA
Barrerito,30187,MORTO POR DENTRO
Barrerito,33622,ONDE ESTÃO OS MEUS PASSOS
Bartô Galeno,1775,NO TOCA-FITA DO MEU CARRO
Bebel Gilberto,33016,SÓ DANÇO SAMBA
Bebeto,30180,MENINA CAROLINA
Belchior,7044,À PALO SECO
Belchior,3921,MEDO DE AVIÃO
Belchior,3854,PARALELAS
Belchior,7267,TUDO OUTRA VEZ
Belchior,3015,APENAS UM RAPAZ LATINO AMERICANO
Belchior,15767,CORAÇÃO SELVAGEM
Belmont e Amaraí,33225,MERCEDITA
Belo,6012,DESAFIO
Belo,9659,DESSE JEITO É RUIM PRA MIM
Belo,6057,ETERNAMENTE
Belo,7981,INTRIGA DA OPOSIÇÃO
Belo,4499,TUA BOCA
Belo,1023,PERFUME
Belo,1399,REINVENTAR
Belo e Neguinho da Beija-Flor,4042,NEGRA ÂNGELA
Belo e Ornella di Santis,1182,AGENDA
Benito Di Paula,1491,"AH, COMO EU AMEI"
Benito Di Paula,9385,"AMIGO SOL, AMIGO LUA"
Benito Di Paula,33080,BELEZA QUE É VOCÊ MULHER
Benito Di Paula,3698,CHARLIE BROWN
Benito Di Paula,4124,MULHER BRASILEIRA
Benito Di Paula,6310,RETALHOS DE CETIM
Benito Di Paula,4097,SE NÃO FOR AMOR
,,Página 7 de 62
,HD-OKÊ!!,
CANTOR,NÚMERO,MÚSICA
Benito Di Paula,6477,TUDO ESTÁ NO SEU LUGAR
Benito Di Paula,3777,VAI FICAR NA SAUDADE
Beth Carvalho,3302,ANDANÇA
Beth Carvalho,6055,COISINHA DO PAI
Beth Carvalho,3296,VOU FESTEJAR
Beth Carvalho e Zeca Pagodinho,30315,DOR DE AMOR
Beto Barbosa,7047,ADOCICA
Beto Barbosa,3153,MEU AMOR NÃO VÁ EMBORA
Beto Barbosa,3485,PRETA
Beto Barbosa,33899,VOCÊ ERROU MAIS DO QUE EU
Beto Guedes,6646,AMOR DE ÍNDIO
Beto Guedes,6544,PAISAGEM DA JANELA
Beto Guedes,3493,SOL DE PRIMAVERA
Beto Guilherme,33371,AGENDA
Bezerra da Silva,33598,CATATAU NERVOSO
Bicho de Pé,6226,NOSSO XOTE
Biel ft. Ludmilla,33923,MELHOR ASSIM
Biquini Cavadão,2829,DANI
Biquini Cavadão,3957,JANAINA
Biquini Cavadão,2873,QUANDO EU TE ENCONTRAR
Biquini Cavadão,6475,TÉDIO
Biquini Cavadão,3268,TIMIDEZ
Biquini Cavadão,3287,VENTO VENTANIA
Biquini Cavadão,15080,ZÉ NINGUÉM
Biro do Cavaco,3570,JÉSSICA
Blitz,6041,A DOIS PASSOS DO PARAÍSO
Blitz,3132,MAIS UMA DE AMOR
Blitz,3293,VOCÊ NÃO SOUBE ME AMAR
Bokaloka,2908,DESENGANO
Bokaloka,33611,DUAS PAIXÕES
Bokaloka,33544,SHORTINHO SAINT TROPEZ
Bom Balanço,30571,TIC BOM
Bonde das Maravilhas,33018,AQUECIMENTO DAS MARAVILHAS
Bonde do Forró,30183,AINDA QUEIMA A ESPERANÇA
Bonde do Forró,30184,CUIDA DO NOSSO AMOR
Bonde do Forró,33515,GAROTA DE PROGRAMA
Bonde do Forró,30185,MARIANE
Bonde do Forró,30188,RARIDADE
Bonde do Maluco,9589,ABRE O SOM
Bonde do Tigrão,30284,ATOLADINHA (BOLA DE FOGO)
Bonde do Tigrão,6053,CEROL NA MÃO
Bonde do Tigrão,6105,O BAILE TODO
Bonde do Tigrão,33454,MALHA FUNK
Bonde dos Catchorros,33008,PERERECA SUICIDA
Bonde Sertanejo,33703,POR TE AMAR DEMAIS
